
fuzzy_threshold=100
did 	 dtitle 	 dauthor 	 dvenue 	 dyear 	 drowid
conf/vldb/LuoN01	formbas proxi cach databaseback web site	luo naughton	vldb	2001	1131
TRWSf77xoWsJ	formbas proxi cach databaseback web site	luo naughton	"proceedings of the international conference on very large  &hellip;,"	2001	44546
conf/vldb/ChaHKK01	cacheconsci concurr control mainmemori index sharedmemori multiprocessor system	cha hwang kim kwon	vldb	2001	1133
VyOa5Uqsj6AJ	cacheconsci concurr control mainmemori index sharedmemori multiprocessor system	cha hwang kim kwon	"proceedings of the international conference on very large  &hellip;,"	2001	47431
conf/sigmod/KotidisR98	altern storag organ rolap aggreg view base cubetre	kotidis roussopoulos	sigmod conference	1998	1137
CpHJwU8o-BkJ	altern storag organ rolap aggreg view base cubetre	kotidis roussopoulos	"sigmod conference,"	1998	7495
conf/vldb/Kotidis01	data wareh architectur enabl servic provis process	kotidis	vldb	2001	1138
lRL4LmMtwnYJ	data wareh architectur enabl servic provis process	kotidis	"proceedings of the international conference on very large  &hellip;,"	2001	26905
conf/sigmod/KabraD98	effici midqueri reoptim suboptim queri execut plan	kabra dewitt	sigmod conference	1998	1144
V9XUvirmVEEJ	effici midqueri reoptim suboptim queri execut plan	kabra dewitt	"sigmod conference,"	1998	62080
conf/sigmod/SubramanianV98	costbas optim decis support queri use transient view	subramanian venkataraman	sigmod conference	1998	1145
KxwymZ2AGNQJ	costbas optim decis support queri use transient view	subramanian venkataraman	"sigmod conference,"	1998	56102
conf/vldb/KahveciS01	effici index structur string databas	kahveci singh	vldb	2001	1146
frMKnMtrsksJ	effici index structur string databas	kahveci singh	"vldb,"	2001	52281
conf/vldb/ManolopoulosT01	c2p cluster base closest pair	nanopoulos theodoridis manolopoulos	vldb	2001	1150
hr5OGCJqc2MJ	c2p cluster base closest pair	nanopoulos theodoridis manolopoulos	"proceedings of the international conference on very large  &hellip;,"	2001	8147
conf/vldb/TanEO01	effici progress skylin comput	tan eng ooi	vldb	2001	1152
1A06w64wjvcJ	effici progress skylin comput	tan eng ooi	"proceedings of the international conference on very large  &hellip;,"	2001	37457
conf/vldb/AgrawalCN00	autom select materi view index sql databas	agrawal chaudhuri narasayya	vldb	2000	1153
U8CMJBaJyX8J	autom select materi view index sql databas	agrawal chaudhuri narasayya	"proceedings of the 26th international conference on very  &hellip;,"	2000	64208
conf/sigmod/HjaltasonS98	increment distanc join algorithm spatial databas	hjaltason samet	sigmod conference	1998	1157
3mwWUz_ORNYJ	increment distanc join algorithm spatial databas	hjaltason samet	"sigmod conference,"	1998	15917
conf/vldb/DingGS00	comput geograph scope web resourc	ding gravano shivakumar	vldb	2000	1158
I5fV3jpcrmAJ	comput geograph scope web resourc	ding gravano shivakumar	"vldb,"	2000	15218
conf/vldb/PantiSG00	casebas approach inform integr	panti spalazzi giretti	vldb	2000	1159
C7Vuxp5KVsAJ	casebas approach inform integr	panti spalazzi giretti	"vldb,"	2000	31974
conf/sigmod/ZhaoDNS98	simultan optim evalu multipl dimension queri	zhao deshpande naughton shukla	sigmod conference	1998	1160
mBC03oUT8yAJ	simultan optim evalu multipl dimension queri	zhao deshpande naughton shukla	"sigmod conference,"	1998	57854
conf/vldb/PappasC00	design develop stream servic heterogen client environ	pappas christodoulakis	vldb	2000	1164
url:http://portal.acm.org/citation.cfm%3Fid%3D645926.671850	design develop stream servic heterogen client environ	pappas christodoulakis	"proceedings of the 26th international conference on very  &hellip;,"	2000	31637
conf/sigmod/Cohen98	integr heterogen databas without common domain use queri base textual similar	cohen	sigmod conference	1998	1168
_ICk4vgjlgsJ	integr heterogen databas without common domain use queri base textual  	cohen	"sigmod conference,"	1998	25768
conf/sigmod/ChaudhuriMN98	random sampl histogram construct much enough	chaudhuri motwani narasayya	sigmod conference	1998	1172
TqXFdQBTW6kJ	random sampl histogram construct much enough page 436447	chaudhuri motwani narasayya		1998	29780
conf/sigmod/ChaudhuriMN98	random sampl histogram construct much enough	chaudhuri motwani narasayya	sigmod conference	1998	1172
hvMTb3FYOjQJ	random sampl histogram construct much enough	chaudhuri motwani narasayya	"sigmod conference,"	1998	48627
conf/sigmod/Adelberg98	nodos  tool semiautomat extract semistructur data text document	adelberg	sigmod conference	1998	1177
5I0ArBmDRcEJ	nodos tool semiautomat extract structur semistructur data text  	adelberg	"sigmod record,"	1998	17902
conf/vldb/CotterB00	biodivers informat infrastructur inform common biodivers commun	cotter bauldock	vldb	2000	1179
SJ6PiY04ebMJ	biodivers informat infrastructur inform common biodivers commun	cotter bauldock	"proceedings of the international conference on very large  &hellip;,"	2000	14396
conf/sigmod/GibbonsM98	new samplingbas summari statist improv approxim queri answer	gibbons matias	sigmod conference	1998	1180
GEBNdHM0xSgJ	new samplingbas summari statist improv approxim queri answer page 331342	gibbons matias		1998	25901
conf/sigmod/GibbonsM98	new samplingbas summari statist improv approxim queri answer	gibbons matias	sigmod conference	1998	1180
4EgMtIywBRUJ	new samplingbas summari statist improv approxim queri answer	gibbons matias	"sigmod conference,"	1998	40069
conf/vldb/Banerjee00	databas platform bioinformat	banerjee	vldb	2000	1182
owfPKT5ip68J	databas platform bioinformat	banerjee	"proceedings of the international conference on very large  &hellip;,"	2000	11037
conf/sigmod/JaedickeM98	parallel process aggreg scalar function objectrel dbm	jaedicke mitschang	sigmod conference	1998	1183
MswqiEweEGUJ	parallel process aggreg scalar function objectrel dbm	jaedicke mitschang	"sigmod conference,"	1998	32589
conf/vldb/Tsur00	data mine bioinformat domain	tsur	vldb	2000	1184
buI2V0eIcZoJ	data mine bioinformat domain	tsur	"proceedings of the international conference on very large  &hellip;,"	2000	29459
conf/vldb/ChoenniV00	design implement geneticbas algorithm data mine	choenni	vldb	2000	1186
R1j3CdeOlwsJ	design implement geneticbas algorithm data mine	choenni	"vldb,"	2000	17297
conf/sigmod/DarEGP98	dtl dataspot databas explor easi brows web	dar entin geva palmon	sigmod conference	1998	1190
ewnL82c8kiMJ	dtl dataspot databas explor easi brows web	dar entin geva palmon	"sigmod conference,"	1998	40831
conf/vldb/AltinelF00	effici filter xml document select dissemin inform	altinel franklin	vldb	2000	1191
MGdQ5QpvlQYJ	effici filter xml document select dissemin inform  group 2 raquo	altinel franklin	"proceedings of the 26th international conference on very  &hellip;,"	2000	41243
conf/sigmod/KornackerSH98	amdb access method debug tool	kornacker shah hellerstein	sigmod conference	1998	1192
bV8_CDuW2gMJ	amdb access method debug tool	kornacker shah hellerstein	"sigmod conference,"	1998	31655
conf/vldb/MatiasVW00	dynam mainten waveletbas histogram	matias vitter wang	vldb	2000	1195
7SeTnikjovEJ	dynam mainten waveletbas histogram	matias vitter wang	"vldb,"	2000	49971
conf/sigmod/Brewer98	deliv high avail inktomi search engin	brewer	sigmod conference	1998	1196
k4UNrsGeUuAJ	deliv high avail inktomi search engin	brewer	"sigmod conference,"	1998	20481
conf/vldb/YuV00	effici numer error bound replic network servic	vahdat	vldb	2000	1200
43N2r_SuYccJ	effici numer error bound replic network servic	vahdat	"vldb,"	2000	57699
conf/vldb/PardonA00	cheetah lightweight transact server plugandplay internet data manag	pardon alonso	vldb	2000	1202
k7G60pXtD58J	cheetah lightweight transact server plugandplay internet data manag	pardon alonso	"vldb,"	2000	22155
conf/sigmod/RaoR98	reus invari new strategi correl queri	rao ross	sigmod conference	1998	1203
WlSXiMaxGlQJ	reus invari new strategi correl queri	rao ross	"sigmod conference,"	1998	44809
conf/vldb/YagoubFIV00	cach strategi dataintens web site	yagoub florescu issarny valduriez	vldb	2000	1204
195Hlqu94qEJ	cach strategi dataintens web site	yagoub florescu issarny valduriez	"vldb,"	2000	36998
conf/vldb/WuFSP00	falcon feedback adapt loop contentbas retriev	faloutsos sycara payne	vldb	2000	1205
XojbAfbtdvcJ	falcon feedback adapt loop contentbas retriev	faloutsos sycara payne	"vldb,"	2000	12904
conf/vldb/LingLL00	hierarch compact cube rangemax queri	lee ling	vldb	2000	1208
yKnPPSNrDb0J	hierarch compact cube rangemax queri	lee ling	"vldb,"	2000	13819
conf/vldb/YiF00	fast time sequenc index arbitrari lp norm	faloutsos	vldb	2000	1209
DpQrWnvO7rEJ	fast time sequenc index arbitrari lp norm	faloutsos	"proceedings of the 26th international conference on very  &hellip;,"	2000	56262
conf/vldb/YiF00	fast time sequenc index arbitrari lp norm	faloutsos	vldb	2000	1209
7j1pKfzfgNYJ	fast time sequenc index arbitrari lp norm	faloutsos	"vldb,"	2000	60452
conf/vldb/LuL00	decis tabl scalabl classif explor rdbm capabl	liu	vldb	2000	1212
Ih5hY-NRmFgJ	decis tabl scalabl classif explor rdbm capabl	liu	"vldb,"	2000	36310
conf/sigmod/ShintaniK98	parallel mine algorithm gener associ rule classif hierarchi	shintani kitsuregawa	sigmod conference	1998	1214
JfxEos8BQDAJ	parallel mine algorithm gener associ rule classif hierarchi	shintani kitsuregawa	"sigmod conference,"	1998	52699
conf/vldb/GoldsteinR00	contrast plot psphere tree space vs time nearest neighbour search	goldstein ramakrishnan	vldb	2000	1216
ylZFc8RNoeQJ	contrast plot psphere tree space vs time nearest neighbour search	goldstein ramakrishnan	"proceedings of the 26th international conference on very  &hellip;,"	2000	47364
conf/sigmod/Toyama98	supersql extend sql databas publish present	toyama	sigmod conference	1998	1219
h4OQc4N4kjIJ	supersql extend sql databas publish present	toyama	"sigmod conference,"	1998	45733
conf/sigmod/ParkKKLPC98	xma extens mainmemori storag system highperform applic	park kwon kim lee park cha	sigmod conference	1998	1224
aepGxosl6YoJ	xma extens mainmemori storag system highperform applic	park kwon kim lee park cha	"sigmod conference,"	1998	13659
conf/sigmod/Cohen98a	provid databaselik access web use queri base textual similar	cohen	sigmod conference	1998	1226
qfD_kxYt-dsJ	provid databaselik access web use queri base textual similar	cohen	"sigmod conference,"	1998	12176
conf/sigmod/LacroixSC98	userori smartcach web seek get	lacroix sahuguet chandrasekar	sigmod conference	1998	1228
MyaiGcr-oYkJ	userori smartcach web seek get  group 4 raquo	lacroix sahuguet chandrasekar	"proceedings of the 1998 acm sigmod international conference  &hellip;,"	1998	24196
conf/vldb/CatozziR01	oper system extens teradata parallel vldb	catozzi rabinovici	vldb	2001	1229
x_mqIy3GCmAJ	oper system extens teradata parallel vldb	catozzi rabinovici	"proceedings of the international conference on very large  &hellip;,"	2001	60781
conf/vldb/BaumgartnerFG01a	supervis wrapper gener lixto	baumgartner flesca gottlob	vldb	2001	1233
GGyAHg9kwysJ	supervis wrapper gener lixto	baumgartner flesca gottlob	"proceedings of the international conference on very large  &hellip;,"	2001	42864
conf/sigmod/BrinMUT97	dynam itemset count implic rule market basket data	brin motwani ullman tsur	sigmod conference	1997	1236
swPpkmm8SdYJ	dynam itemset count implic rule market basket data	brin motwani ullman tsur		1997	62910
conf/sigmod/ZhaoDN97	arraybas algorithm simultan multidimension aggreg	zhao deshpande naughton	sigmod conference	1997	1237
YwLoGdTgG-sJ	arraybas algorithm simultan multidimension aggreg	zhao deshpande naughton	"sigmod conference,"	1997	2401
conf/sigmod/AcharyaFZ97	balanc push pull data broadcast	acharya franklin zdonik	sigmod conference	1997	1239
9OEjtHuRUzsJ	balanc push pull data broadcast	acharya franklin zdonik	"sigmod conference,"	1997	18522
conf/vldb/PapadiasT01	mv3rtree spatiotempor access method timestamp interv queri	tao papadias	vldb	2001	1249
2V2bnIgsY1kJ	mv3rtree spatiotempor access method timestamp interv queri  group 4 raquo	tao papadias	"proceedings of the 27th international conference on very  &hellip;,"	2001	61489
conf/vldb/OoiYTJ01	index distanc effici method knn process	ooi tan jagadish	vldb	2001	1251
RFEE_MNM8IUJ	index distanc effici method knn process	ooi tan jagadish	"vldb,"	2001	41448
conf/vldb/TanSHCR01	walk larg virtual environ realtim	shou chionh huang ruan tan	vldb	2001	1253
hPcNG0tPwgIJ	walk larg virtual environ realtim	shou chionh huang ruan tan	"proceedings of the 27th international conference on very  &hellip;,"	2001	27543
conf/vldb/LabrinidisR01	updat propag strategi improv qualiti data web	labrinidis roussopoulos	vldb	2001	1255
3Ozte0ucNJAJ	updat propag strategi improv qualiti data web	labrinidis roussopoulos	"vldb,"	2001	20303
conf/vldb/SatheS01	intellig rollup multidimension olap data	sathe sarawagi	vldb	2001	1258
L1IBwD8w1G0J	intellig rollup multidimension olap data	sathe sarawagi	"vldb,"	2001	63303
conf/vldb/BratsbergH01	onlin scale highli avail databas	bratsberg humborstad	vldb	2001	1261
x-oQarjjgccJ	onlin scale highli avail databas	bratsberg humborstad	"proceedings of the 27th international conference on very  &hellip;,"	2001	14802
conf/sigmod/Mylopoulos98	panel next gener databas system wont work without semant	mylopoulos	sigmod conference	1998	1262
vU_Vo2059VUJ	next gener databas system wont work without semanticspanel	mylopoulos	"proceedings of the 1998 acm sigmod international conference  &hellip;,"	1998	29257
conf/sigmod/Mylopoulos98	panel next gener databas system wont work without semant	mylopoulos	sigmod conference	1998	1262
2R-2i60g4MsJ	next gener databas system wont work without semant	mylopoulos	"sigmod record,"	1998	36944
conf/sigmod/AndersonBKW98	replic consist practic mutual exclus	anderson breitbart korth wool	sigmod conference	1998	1263
j6v2b9hN-R4J	replic consist practic mutual exclus	anderson breitbart korth wool	"sigmod conference,"	1998	50135
conf/vldb/JensenL01	transact timestamp tempor databas	jensen lomet	vldb	2001	1264
yUDkYbmDTXIJ	transact timestamp tempor databas	jensen lomet	"proceedings of the international conference on very large  &hellip;,"	2001	2672
conf/vldb/Duranti01	longterm preserv authent electron record	duranti	vldb	2001	1266
gQW6iYG5Vh0J	longterm preserv authent electron record	duranti	"proceedings of the international conference on very large  &hellip;,"	2001	46092
conf/sigmod/Kennamer98	microsoftcom highscal data manag transact process solut	kennamer	sigmod conference	1998	1268
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D276373%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	microsoft corn highscal data manag transact process solut	kennamer	"sigmod record,"	1998	7442
conf/sigmod/Kennamer98	microsoftcom highscal data manag transact process solut	kennamer	sigmod conference	1998	1268
url:http://portal.acm.org/citation.cfm%3Fid%3D276304.276373%26dl%3Dportal%26dl%3DACM%26type%3Dseries%26idx%3D276304%26part%3DProceedings%26WantType%3DProceedings%26title%3DInternational%2520Conference%2520on%2520Management%2520of%2520Data%26CFID%3D11111111%26CFTOKEN%3D2222222	microsoft com highscal data manag transact process solut	kennamer	"proceedings of the 1998 acm sigmod international conference  &hellip;,"	1998	64013
conf/vldb/WiesnerK01	hyperqueri dynam distribut queri process internet	kemper wiesner	vldb	2001	1271
UrDwK2S7QVwJ	hyperqueri dynam distribut queri process internet	kemper wiesner	"proceedings of the international conference on very large  &hellip;,"	2001	2606
conf/vldb/BonifatiCDS01	wareh workflow data challeng opportun	bonifati casati dayal shan	vldb	2001	1273
tCrfb27dXiwJ	wareh workflow data challeng opportun	bonifati casati dayal shan	"proceedings of the international conference on very large  &hellip;,"	2001	39441
conf/vldb/Huyn01	scientif olap biotech domain	huyn	vldb	2001	1276
SbL4xw4mCewJ	scientif olap biotech domain	huyn	"proceedings of the international conference on very large  &hellip;,"	2001	25679
conf/sigmod/Chan98	transact publish  subscrib proactiv multicast databas chang	chan	sigmod conference	1998	1277
oo2mr5fbMggJ	transact publishsubscrib proactiv multicast databas chang	chan	"sigmod conference,"	1998	50919
conf/vldb/Gentili01	italian electron ident card  principl architectur	gentili	vldb	2001	1279
2j1dalv3kCEJ	italian electron ident card  principl architectur	gentili	"proceedings of the international conference on very large  &hellip;,"	2001	7555
conf/vldb/NetzCBF00	integr data mine databas technolog	netz chaudhuri bernhardt fayyad	vldb	2000	1283
3OTNpeTJ1vEJ	integr data mine relat databas	netz chaudhuri bernhardt fayyad	proc.	2000	11519
conf/vldb/NetzCBF00	integr data mine databas technolog	netz chaudhuri bernhardt fayyad	vldb	2000	1283
mRIRFxOC8A8J	integr data mine databas technolog	netz chaudhuri bernhardt fayyad	"proceedings of the 26th international conference on very  &hellip;,"	2000	34030
conf/vldb/Blecken00	media360 workflowimpl workflow engin insid databas	blecken	vldb	2000	1290
hCSzil0nuVEJ	media360 workflowimpl workflow engin insid databas	blecken	"proceedings of the international conference on very large  &hellip;,"	2000	38248
conf/vldb/CasatiS00	process autom foundat ebusi	casati shan	vldb	2000	1292
OjOQRHgD-qwJ	process autom foundat ebusi	casati shan	"proceedings of the international conference on very large  &hellip;,"	2000	42259
conf/vldb/Schnase00	research direct biodivers informat	schnase	vldb	2000	1293
OdaRU442nm0J	research direct biodivers informat	schnase	"proceedings of the international conference on very large  &hellip;,"	2000	7509
conf/sigmod/KoudasS97	size separ spatial join	koudas sevcik	sigmod conference	1997	1294
0u8r8MJWgKAJ	size separ spatial join	koudas sevcik	"proceedings of the 1997 acm sigmod international conference  &hellip;,"	1997	60670
conf/vldb/Bowker00	work inform practic scienc biodivers	bowker	vldb	2000	1296
fAHjV8C1hLcJ	work inform practic scienc biodivers	bowker	"proceedings of the international conference on very large  &hellip;,"	2000	50871
conf/sigmod/ZaharioudakisC97	highli concurr cach consist indic clientserv databas system	zaharioudakis carey	sigmod conference	1997	1297
U0o8vPY7L4kJ	highli concurr cach consist indic clientserv databas system	zaharioudakis carey	"proceedings on the 1997 acm-sigmod international conference  &hellip;,"	1997	57953
conf/vldb/Ladin00	zero latenc enterpris	liles	vldb	2000	1298
kPTa4IiS_sgJ	zero latenc enterpris	liles	"proceedings of the international conference on very large  &hellip;,"	2000	25595
conf/vldb/Brodie00	panel futur direct databas research  vldb broaden strategi part 2	brodie	vldb	2000	1300
uFCOiVkDZE8J	panel futur direct databas researchth vldb broaden strategi part 2	brodie	"proceedings of the international conference on very large  &hellip;,"	2000	3001
conf/vldb/Deshpande00	link busi deliv valu data manag challeng	deshpande	vldb	2000	1301
2DiLFd0rgPgJ	link busi deliv valu data manag challeng	deshpande	"proceedings of the international conference on very large  &hellip;,"	2000	36468
conf/sigmod/TsueiPK97	databas buffer size investig oltp workload experi paper	tsuei packer	sigmod conference	1997	1307
DpQGq6n1jnkJ	databas buffer size investig oltp workload	tsuei packer	"proceedings of the 1997 acm sigmod international conference  &hellip;,"	1997	33379
conf/sigmod/AdelbergGW97	strip rule system effici maintain deriv data	adelberg garciamolina widom	sigmod conference	1997	1309
zZo47Z-jVX4J	strip rule system effici maintain deriv data	adelberg garciamolina widom	"sigmod conference,"	1997	18839
conf/vldb/Schek00	panel futur direct databas research  vldb broaden strategi part 1	schek	vldb	2000	1310
yMjJam38N8sJ	panel futur direct databas researchth vldb broaden strategi part 1	schek	"proceedings of the international conference on very large  &hellip;,"	2000	6655
conf/sigmod/YangM97	associ rule interv data	miller yang	sigmod conference	1997	1314
xrTlYcyFKtwJ	associ rule interv data	miller yang	"sigmod conference,"	1997	44729
conf/vldb/ShahabiFKF00	insit tool interpret user interact web space	shahabi faisal kashani faruque	vldb	2000	1316
ln1yHhG7gdgJ	insit tool interpret user interact web space	shahabi faisal kashani faruque	"proceedings of the 26th international conference on very  &hellip;,"	2000	13926
conf/vldb/AdiBEY00	push technolog person event correl	adi botzer etzion yatzkarhaham	vldb	2000	1319
RkjggE7xhN0J	push technolog person event correl	adi botzer etzion yatzkarhaham	"proceedings of the international conference on very large  &hellip;,"	2000	22815
conf/vldb/AdiBEY00	push technolog person event correl	adi botzer etzion yatzkarhaham	vldb	2000	1319
W2UXiwB8On8J	push technolog person event correl demo proceed	adi botzer etzion yatzkarhaham		2000	26390
conf/sigmod/HanKS97	geomin system prototyp spatial data mine	han koperski stefanovic	sigmod conference	1997	1324
nD_Yjp9TNuIJ	geomin system prototyp spatial data mine	han koperski stefanovic	"sigmod conference,"	1997	27415
conf/vldb/HelalL00	rainbow distribut databas system classroom educ experiment research	helal	vldb	2000	1328
LPapCvY4RFkJ	rainbow distribut databas system classroom educ experiment research	helal	"proceedings of the international conference on very large  &hellip;,"	2000	26833
conf/vldb/PedersenJD00	treescap system reus precomput aggreg irregular olap hierarchi	pedersen jensen dyreson	vldb	2000	1334
bSRLP5_ErFMJ	treescap system reus precomput aggreg irregular olap hierarchi	pedersen jensen dyreson	"proceedings of the international conference on very large  &hellip;,"	2000	63775
conf/vldb/GuPS00	olap power easytous feder olap object databas	pedersen shoshani	vldb	2000	1335
mRWLGqueLNsJ	olap power easytous feder olap object databas	pedersen shoshani	"proceedings of the 26th international conference on very  &hellip;,"	2000	56890
conf/vldb/HinneburgAK00	nearest neighbor high dimension space	hinneburg aggarwal keim	vldb	2000	1341
1ambq2RMGMoJ	nearest neighbor high dimension space	hinneburg aggarwal keim	"vldb,"	2000	53970
conf/sigmod/AgrawalASY97	effici view mainten data warehous	agrawal abbadi singh yurek	sigmod conference	1997	1342
3nxl8d4c0t4J	effici view mainten data warehous	agrawal abbadi singh yurek	"sigmod rec,"	1997	17756
conf/vldb/SakuraiYUK00	atre index structur highdimension space use rel approxim	sakurai yoshikawa uemura kojima	vldb	2000	1343
K2xCMgImpVkJ	atre index structur highdimension space use rel approxim	sakurai yoshikawa uemura kojima	"vldb,"	2000	10846
conf/sigmod/LlirbatFS97	elimin costli redund comput sql trigger execut	llirbat fabret simon	sigmod conference	1997	1344
hJiwQ2CQRBkJ	elimin costli redund comput sql trigger execut	llirbat fabret simon	"sigmod conference,"	1997	61969
conf/sigmod/Chakravarthy97	sentinel objectori dbm eventbas rule	chakravarthy	sigmod conference	1997	1350
5Ng-bLUNAsQJ	sentinel objectori dbm eventbas rule	chakravarthy	"acm sigmod record,"	1997	56939
conf/sigmod/SeshadriP97	predat ordbm enhanc data type	seshadri paskin	sigmod conference	1997	1352
f9POLlECN2gJ	predat ordbm enhanc data type	seshadri paskin	"proceedings of the 1997 acm sigmod international conference  &hellip;,"	1997	25875
conf/sigmod/Blakeley96	data access mass ole db	blakeley	sigmod conference	1996	1353
xZxFCI120eUJ	data access mass ole db  	blakeley		1996	31624
conf/sigmod/Blakeley96	data access mass ole db	blakeley	sigmod conference	1996	1353
jQ6eIao6R0EJ	data access mass ole db	blakeley	"sigmod conference,"	1996	33266
conf/vldb/PfoserJT00	novel approach queri process move object trajectori	pfoser jensen theodoridis	vldb	2000	1354
0IeLWfNYZEYJ	novel approach queri process move object trajectori	pfoser jensen theodoridis	"proceedings of the 26th international conference on very  &hellip;,"	2000	11988
conf/vldb/KoudasIM00	identifi repres trend massiv time seri data set use sketch	indyk koudas muthukrishnan	vldb	2000	1356
VSR4PwHmGWsJ	identifi repres trend massiv time seri data set use sketch	indyk koudas muthukrishnan	"proceedings of the 26th international conference on very  &hellip;,"	2000	47914
conf/sigmod/SimmenSM96	fundament techniqu order optim	simmen shekita malkemus	sigmod conference	1996	1359
XVP8s4K0Bg4J	fundament techniqu order optim	simmen shekita malkemus	"sigmod conference,"	1996	31509
conf/vldb/JohnsonA00	optim queri compress bitmap	ameryahia johnson	vldb	2000	1362
EPVkQkFM2osJ	optim queri compress bitmap	ameryahia johnson	"proceedings of the 26th international conference on very  &hellip;,"	2000	26377
conf/vldb/DiaoLCT00	toward learn base web queri process	diao chen tian	vldb	2000	1363
lzbvXZxLKJIJ	toward learn base web queri process	diao chen tian	"vldb,"	2000	1875
conf/vldb/Sarawagi00	useradapt explor multidimension data	sarawagi	vldb	2000	1365
z5DmAoBjsjAJ	useradapt explor multidimension data	sarawagi	"vldb,"	2000	3912
conf/vldb/CeriCW00	practic applic trigger constraint success linger issu 10year award	ceri cochrane widom	vldb	2000	1373
bDuu6x2n1tgJ	practic applic trigger constraint success linger issu	ceri cochrane widom	"proc. 26th int. conf. on very large databases,"	2000	22487
conf/vldb/MendelzonV00	tempor queri olap	mendelzon vaisman	vldb	2000	1375
AQLsLBctUI4J	tempor queri olap	mendelzon vaisman	"proceedings of the 26th international conference on very  &hellip;,"	2000	43263
conf/vldb/ChoG00	evolut web implic increment crawler	cho garciamolina	vldb	2000	1377
9MI4jOOqkn4J	evolut web implic increment crawler	cho garciamolina	"vldb,"	2000	50149
conf/sigmod/Chaudhuri97	queri optim crossroad panel	chaudhuri	sigmod conference	1997	1378
9GsZHpVf2_cJ	queri optim crossroad	chaudhuri	"sigmod record,"	1997	43902
conf/vldb/BalminPP00	hypothet queri olap environ	balmin papadimitriou papakonstantinou	vldb	2000	1379
FoAVdcYe0tsJ	hypothet queri olap environ	balmin papadimitriou papakonstantinou	"proceedings of the 26th international conference on very  &hellip;,"	2000	30868
conf/vldb/WangZ00	use sql build new aggreg extend object relat system	wang zaniolo	vldb	2000	1382
eDa9jQWsTMoJ	use sql build new aggreg extend objectrel system	wang zaniolo	"proceedings of the 26th international conference on very  &hellip;,"	2000	44146
conf/vldb/GantiLR00	icicl selftun sampl approxim queri answer	ganti lee ramakrishnan	vldb	2000	1384
V7byawkFcZMJ	icicl selftun sampl approxim queri answer	ganti lee ramakrishnan	"vldb,"	2000	53120
conf/vldb/OlstonW00	offer precisionperform tradeoff aggreg queri replic data	olston widom	vldb	2000	1385
R_hYW6eIUuYJ	offer precisionperform tradeoff aggreg queri replic data	olston widom	"vldb,"	2000	21535
conf/sigmod/AtzeniT97	mdm multipledatamodel tool manag heterogen databas scheme	atzeni torlone	sigmod conference	1997	1386
i2LI1TWifbYJ	mdm multipledatamodel tool manag heterogen databas scheme	atzeni torlone	"sigmod conference,"	1997	57338
conf/vldb/GrumbachRS00	manipul interpol data easier thought	grumbach rigaux segoufin	vldb	2000	1388
iQ3Zi3crc9wJ	manipul interpol data easier thought	grumbach rigaux segoufin	"vldb,"	2000	25470
conf/vldb/ChakrabartiM00	local dimension reduct new approach index high dimension space	chakrabarti mehrotra	vldb	2000	1392
7P1LlDStRGYJ	local dimension reduct new approach index high dimension space	chakrabarti mehrotra	"vldb,"	2000	40174
conf/vldb/WangHH00	mine frequent itemset use support constraint	wang han	vldb	2000	1395
qbxHq9qXVrUJ	mine frequent itemset use support constraint	wang han	"vldb,"	2000	28699
conf/vldb/ChaudhuriW00	rethink databas system architectur toward selftun riscstyl databas system	chaudhuri weikum	vldb	2000	1397
OuM0E0BhEXIJ	rethink databas system architectur toward selftun riscstyl databas system	chaudhuri weikum	"vldb,"	2000	705
conf/vldb/ChristopheBPV00	picodmb scale databas techniqu smartcard	bobineau bouganim pucheral valduriez	vldb	2000	1400
8DRB_dYz2CgJ	picodmb scale databas techniqu smartcard	bobineau bouganim pucheral valduriez	"vldb,"	2000	9720
conf/vldb/Taylor00	concurr data warehous	taylor	vldb	2000	1401
Af_4cNCu3MwJ	concurr data warehous	taylor	"proceedings of the international conference on very large  &hellip;,"	2000	11310
conf/sigmod/GuptaHR97	revisit commit process distribut databas system	gupta haritsa ramamritham	sigmod conference	1997	1402
pGix0qZ6Uz4J	revisit commit process distribut databas system	gupta haritsa ramamritham	"sigmod conference,"	1997	41751
conf/vldb/SchaeferBBJ00	control data warehous knowledg network	schaefer becker boehmer jarke	vldb	2000	1406
url:http://portal.acm.org/citation.cfm%3Fid%3D645926.671845	control data warehous knowledg network	schaefer becker boehmer jarke	"&hellip;  international conference on very large data bases table of  &hellip;,"	2000	6239
conf/sigmod/GeorgeH97	secur transact process firm realtim databas system	george haritsa	sigmod conference	1997	1408
Ah9B3bWU0jEJ	secur transact process firm realtim databas system	george haritsa	"sigmod conference,"	1997	37771
conf/vldb/DeutschPT99	physic data independ constraint optim univers plan	deutsch popa tannen	vldb	1999	1412
0aJOXauNqYIJ	physic data independ constraint optim univers plan	deutsch popa tannen		1999	32462
conf/vldb/JaedickeM99	userdefin tabl oper enhanc extens ordbm	jaedicke mitschang	vldb	1999	1413
zh6yaOX2xiQJ	userdefin tabl oper enhanc extens ordbm	jaedicke mitschang	"proceedings of the 25th international conference on very  &hellip;,"	1999	42791
conf/sigmod/HillyerS96	random io schedul onlin tertiari storag system	hillyer silberschatz	sigmod conference	1996	1414
